fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,q_min,q_max,q_med,q_mar,hr,inso,p_sol,w_med,w_racha,w_rec
2021-08-01,Yecla,18.1,35.2,26.7,13.7,44.3,1.4,1.0(23),935.5,949.9,943.2,1013.2,43.0,10.1,74.0,10.0,19/17.5(15),201
2021-09-01,Yecla,15.4,29.6,22.6,11.4,34.1,32.8,11.6(01),939.0,952.6,944.8,1016.2,58.0,7.9,64.0,10.0,28/13.6(09),215
2021-10-01,Yecla,10.4,24.4,17.5,4.3,28.9,18.6,7.2(03),936.6,954.4,945.8,1018.6,65.0,6.9,61.0,8.0,25/17.5(31),176
2021-11-01,Yecla,5.2,15.5,10.4,0.5,23.4,33.0,18.0(22),930.1,953.5,941.8,1016.4,63.0,6.5,64.0,14.0,27/21.7(03),298
2021-12-01,Yecla,5.1,15.8,10.5,-1.0,26.9,2.2,0.6(25),934.3,954.8,946.3,1021.2,68.0,6.0,63.0,14.0,26/25.3(06),295
2022-01-01,Yecla,-0.1,14.9,7.4,-6.6,26.7,0.0,0.0(--),937.4,959.0,951.5,1027.7,59.0,7.0,72.0,10.0,27/24.2(05),213
2022-02-01,Yecla,2.9,17.8,10.3,-1.4,25.8,0.2,0.2(13),941.1,957.1,949.7,1024.8,54.0,7.3,68.0,9.0,30/20.8(17),208
2022-03-01,Yecla,6.2,13.8,10.0,0.6,21.1,98.8,29.2(03),927.8,952.2,942.7,1017.4,78.0,3.2,27.0,15.0,04/18.3(17),338
2022-04-01,Yecla,6.6,18.2,12.4,-1.2,27.4,57.0,17.6(05),925.9,950.8,940.2,1013.9,58.0,7.8,59.0,14.0,29/20.0(08),310
2022-05-01,Yecla,10.8,28.0,19.4,6.2,36.1,31.4,13.0(02),932.9,951.0,944.0,1015.7,44.0,10.8,75.0,10.0,32/17.5(23),212
2022-06-01,Yecla,,,,,,2.6,2.6(21),935.9,949.9,942.8,1012.8,,12.1,81.0,10.0,28/15.0(05),216
2022-07-01,Yecla,17.8,35.9,27.0,14.8,41.0,4.6,4.6(06),939.1,950.9,945.3,1015.0,39.0,11.2,77.0,9.0,08/17.2(06),193
2022-08-01,Yecla,17.0,34.9,26.0,15.0,39.5,8.8,4.6(30),935.0,948.6,942.7,1012.7,41.0,11.0,80.0,10.0,28/19.7(13),209
2022-09-01,Yecla,15.4,29.8,22.6,9.4,35.6,17.6,6.6(22),932.6,947.7,942.0,1013.1,50.0,8.4,68.0,9.0,16/16.1(01),211
2022-10-01,Yecla,12.2,26.4,19.3,5.8,30.3,31.2,24.6(10),941.7,954.4,947.4,1020.0,62.0,7.0,62.0,7.0,24/15.8(31),162
2022-11-01,Yecla,7.9,19.4,13.7,0.2,27.1,18.8,13.2(11),936.4,955.5,945.4,1019.3,61.0,7.0,69.0,13.0,28/21.1(19),307
2022-12-01,Yecla,5.6,16.5,11.1,0.2,22.7,27.8,9.0(11),927.5,957.3,942.9,1017.4,73.0,4.9,51.0,9.0,30/20.3(22),204
2023-01-01,Yecla,0.9,13.5,7.2,-5.9,19.5,1.0,0.6(17),927.3,959.5,947.3,1023.1,59.0,7.5,77.0,12.0,27/27.2(17),282
2023-02-01,Yecla,0.2,13.2,6.7,-5.4,20.7,4.4,1.4(06),929.9,961.5,949.2,1025.4,63.0,6.0,56.0,9.0,26/21.1(26),218
