Fecha medida,Código,Nivel medio diario (m)
2015-02-06,EA-013-TOT,
2015-02-06,EA-021-PR,0.090
2015-02-06,EA-062-TOT,
2015-02-06,EA-063-PR,0.010
2015-02-06,EA-112-TOT,
2015-02-06,EA-117-TOT,
2015-02-06,EA-430B,
2015-02-07,EA-001,0.480
2015-02-07,EA-007,
2015-02-07,EA-013-TOT,
2015-02-07,EA-021-PR,0.090
2015-02-07,EA-062-TOT,
2015-02-07,EA-063-PR,0.000
2015-02-07,EA-112-TOT,
2015-02-07,EA-117-TOT,
2015-02-07,EA-430B,
2015-02-08,EA-001,0.480
2015-02-08,EA-007,
2015-02-08,EA-013-TOT,
2015-02-08,EA-021-PR,0.100
2015-02-08,EA-062-TOT,
2015-02-08,EA-063-PR,0.000
2015-02-08,EA-112-TOT,
2015-02-08,EA-117-TOT,
2015-02-08,EA-430B,
2015-02-09,EA-001,0.480
2015-02-09,EA-007,
2015-02-09,EA-013-TOT,
2015-02-09,EA-021-PR,0.120
2015-02-09,EA-062-TOT,
2015-02-09,EA-063-PR,0.000
2015-02-09,EA-112-TOT,
2015-02-09,EA-117-TOT,
2015-02-09,EA-430B,
2015-02-10,EA-001,0.480
2015-02-10,EA-007,
2015-02-10,EA-013-TOT,
2015-02-10,EA-021-PR,0.160
2015-02-10,EA-062-TOT,
2015-02-10,EA-063-PR,0.010
2015-02-10,EA-112-TOT,
2015-02-10,EA-117-TOT,
2015-02-10,EA-430B,
2015-02-11,EA-001,0.480
2015-02-11,EA-007,
2015-02-11,EA-013-TOT,
2015-02-11,EA-021-PR,0.150
2015-02-11,EA-062-TOT,
2015-02-11,EA-063-PR,0.030
2015-02-11,EA-112-TOT,
2015-02-11,EA-117-TOT,
2015-02-11,EA-430B,
2015-02-12,EA-001,0.480
2015-02-12,EA-007,
2015-02-12,EA-013-TOT,
2015-02-12,EA-021-PR,0.210
2015-02-12,EA-062-TOT,
2015-02-12,EA-063-PR,0.190
2015-02-12,EA-112-TOT,
2015-02-12,EA-117-TOT,
2015-02-12,EA-430B,
2015-02-13,EA-001,0.480
2015-02-13,EA-007,
2015-02-13,EA-013-TOT,
2015-02-13,EA-021-PR,0.180
2015-02-13,EA-062-TOT,
2015-02-13,EA-063-PR,0.000
2015-02-13,EA-112-TOT,
2015-02-13,EA-117-TOT,
2015-02-13,EA-430B,
2015-02-14,EA-001,0.480
2015-02-14,EA-007,
2015-02-14,EA-013-TOT,
2015-02-14,EA-021-PR,0.100
2015-02-14,EA-062-TOT,
2015-02-14,EA-063-PR,0.000
2015-02-14,EA-112-TOT,
2015-02-14,EA-117-TOT,
2015-02-14,EA-430B,
2015-02-15,EA-001,0.480
2015-02-15,EA-007,
2015-02-15,EA-013-TOT,
2015-02-15,EA-021-PR,0.060
2015-02-15,EA-062-TOT,
2015-02-15,EA-063-PR,0.000
2015-02-15,EA-112-TOT,
2015-02-15,EA-117-TOT,
2015-02-15,EA-430B,
2015-02-16,EA-001,0.480
2015-02-16,EA-007,
2015-02-16,EA-013-TOT,
2015-02-16,EA-021-PR,0.080
2015-02-16,EA-062-TOT,
2015-02-16,EA-063-PR,0.000
2015-02-16,EA-112-TOT,
2015-02-16,EA-117-TOT,
2015-02-16,EA-430B,
2015-02-17,EA-001,0.480
2015-02-17,EA-007,
2015-02-17,EA-013-TOT,
2015-02-17,EA-021-PR,0.150
2015-02-17,EA-062-TOT,
2015-02-17,EA-063-PR,0.000
2015-02-17,EA-112-TOT,
2015-02-17,EA-117-TOT,
2015-02-17,EA-430B,
2015-02-18,EA-001,0.480
2015-02-18,EA-007,
2015-02-18,EA-013-TOT,
2015-02-18,EA-021-PR,0.150
2015-02-18,EA-062-TOT,
2015-02-18,EA-063-PR,0.000
2015-02-18,EA-112-TOT,
2015-02-18,EA-117-TOT,
2015-02-18,EA-430B,
2015-02-19,EA-001,0.480
2015-02-19,EA-007,
2015-02-19,EA-013-TOT,
2015-02-19,EA-021-PR,0.110
2015-02-19,EA-062-TOT,
2015-02-19,EA-063-PR,0.000
2015-02-19,EA-112-TOT,
2015-02-19,EA-117-TOT,
2015-02-19,EA-430B,
2015-02-20,EA-001,0.480
2015-02-20,EA-007,
2015-02-20,EA-013-TOT,
2015-02-20,EA-021-PR,0.080
2015-02-20,EA-062-TOT,
2015-02-20,EA-063-PR,0.000
2015-02-20,EA-112-TOT,
2015-02-20,EA-117-TOT,
2015-02-20,EA-430B,
2015-02-21,EA-001,0.480
2015-02-21,EA-007,
2015-02-21,EA-013-TOT,
2015-02-21,EA-021-PR,0.090
2015-02-21,EA-062-TOT,
2015-02-21,EA-063-PR,0.000
2015-02-21,EA-112-TOT,
2015-02-21,EA-117-TOT,
2015-02-21,EA-430B,
2015-02-22,EA-001,0.480
2015-02-22,EA-007,
2015-02-22,EA-013-TOT,
2015-02-22,EA-021-PR,0.090
2015-02-22,EA-062-TOT,
2015-02-22,EA-063-PR,0.000
2015-02-22,EA-112-TOT,
2015-02-22,EA-117-TOT,
2015-02-22,EA-430B,
2015-02-23,EA-001,0.480
2015-02-23,EA-007,
2015-02-23,EA-013-TOT,
2015-02-23,EA-021-PR,0.080
2015-02-23,EA-062-TOT,
2015-02-23,EA-063-PR,0.000
2015-02-23,EA-112-TOT,
2015-02-23,EA-117-TOT,
2015-02-23,EA-430B,
2015-02-24,EA-001,0.480
2015-02-24,EA-007,
2015-02-24,EA-013-TOT,
2015-02-24,EA-021-PR,0.080
2015-02-24,EA-062-TOT,
2015-02-24,EA-063-PR,0.000
2015-02-24,EA-112-TOT,
