fec_medida,codigo,evapor_diaria_m3,desague_diario_m3,altura_diaria_m,superf_diaria_m2,aport_diaria_m3,volumen_diario_m3
2015-01-24,EB-004,8515.0,1425600.0,33.0,2580228.0,1202556.0,25085906.0
2015-01-24,EB-006,14411.0,613440.0,53.0,5542563.0,350639.0,104741806.0
2015-01-24,EB-009,85762.0,216000.0,72.0,13832501.0,719287.0,311266730.0
2015-01-24,EB-010,5776.0,1268352.0,26.0,1804895.0,1432858.0,13923037.0
2015-01-25,EB-004,9516.0,1425600.0,32.0,2572023.0,1229286.0,24880076.0
2015-01-25,EB-006,15492.0,648000.0,53.0,5532769.0,386280.0,104464594.0
2015-01-25,EB-009,77553.0,172800.0,72.0,13848777.0,807055.0,311823432.0
2015-01-25,EB-010,4913.0,1232928.0,26.0,1819524.0,1431844.0,14117040.0
2015-01-26,EB-004,5897.0,1339200.0,32.0,2563819.0,1139267.0,24674246.0
2015-01-26,EB-006,11582.0,708480.0,53.0,5515141.0,221080.0,103965612.0
2015-01-26,EB-009,42982.0,172800.0,72.0,13865053.0,772483.0,312380133.0
2015-01-26,EB-010,3843.0,1200960.0,26.0,1830163.0,1345897.0,14258134.0
2015-01-27,EB-004,9971.0,1380672.0,32.0,2556641.0,1210542.0,24494145.0
2015-01-27,EB-006,17617.0,604800.0,53.0,5505348.0,345204.0,103688399.0
2015-01-27,EB-009,83264.0,198720.0,72.0,13877260.0,699510.0,312797659.0
2015-01-27,EB-010,7562.0,1209600.0,26.0,1844460.0,1389025.0,14429997.0
2015-01-28,EB-004,7133.0,1380672.0,32.0,2547411.0,1156246.0,24262586.0
2015-01-28,EB-006,19805.0,561600.0,53.0,5501431.0,470521.0,103577515.0
2015-01-28,EB-009,77804.0,172800.0,72.0,13893536.0,807305.0,313354360.0
2015-01-28,EB-010,632.0,1166400.0,26.0,1858758.0,1344584.0,14601861.0
2015-01-29,EB-004,11173.0,1408320.0,32.0,2539207.0,1213662.0,24056755.0
2015-01-29,EB-006,28597.0,449280.0,53.0,5499472.0,422434.0,103522072.0
2015-01-29,EB-009,123761.0,172800.0,72.0,13905743.0,714087.0,313771886.0
2015-01-29,EB-010,14972.0,1257120.0,26.0,1871467.0,1424859.0,14754628.0
2015-01-30,EB-004,0.0,1326240.0,32.0,2536130.0,1249054.0,23979569.0
2015-01-30,EB-006,46163.0,604800.0,53.0,5495555.0,540078.0,103411187.0
2015-01-30,EB-009,155881.0,203040.0,73.0,13917950.0,776447.0,314189412.0
2015-01-30,EB-010,14569.0,1079136.0,26.0,1892119.0,1341952.0,15002875.0
2015-01-31,EB-004,0.0,1339200.0,33.0,2637176.0,3873198.0,26513567.0
2015-01-31,EB-006,26345.0,561600.0,53.0,5605240.0,3692722.0,106515964.0
2015-01-31,EB-009,57114.0,172800.0,73.0,13930157.0,647439.0,314606937.0
2015-01-31,EB-010,9411.0,997056.0,27.0,1920714.0,1350194.0,15346602.0
2015-02-01,EB-004,0.0,1330560.0,33.0,2661808.0,1946430.0,27129437.0
2015-02-01,EB-006,18114.0,561600.0,54.0,5660622.0,2149960.0,108086210.0
2015-02-01,EB-009,65529.0,172800.0,73.0,13942364.0,655855.0,315024463.0
2015-02-01,EB-010,6806.0,993600.0,27.0,1944543.0,1286845.0,15633041.0
2015-02-02,EB-004,0.0,1612800.0,33.0,2656453.0,1478915.0,26995552.0
2015-02-02,EB-006,11402.0,648000.0,54.0,5700992.0,1807934.0,109234742.0
2015-02-02,EB-009,41876.0,172800.0,73.0,13958640.0,771377.0,315581164.0
2015-02-02,EB-010,5093.0,1264032.0,27.0,1958840.0,1440988.0,15804904.0
2015-02-03,EB-004,0.0,1663200.0,33.0,2659666.0,1743531.0,27075883.0
2015-02-03,EB-006,12631.0,639360.0,54.0,5741362.0,1800523.0,110383274.0
2015-02-03,EB-009,57297.0,172800.0,73.0,13974916.0,786799.0,316137866.0
2015-02-03,EB-010,6334.0,1416960.0,27.0,1979492.0,1671541.0,16053151.0
2015-02-04,EB-004,0.0,1655424.0,33.0,2659666.0,1655424.0,27075883.0
2015-02-04,EB-006,9241.0,596160.0,54.0,5775677.0,1581653.0,111359526.0
2015-02-04,EB-009,74132.0,216000.0,73.0,13987123.0,707657.0,316555391.0
2015-02-04,EB-010,7403.0,1416960.0,27.0,2000838.0,1664187.0,16292975.0
2015-02-05,EB-004,14581.0,1563840.0,33.0,2651099.0,1364206.0,26861668.0
2015-02-05,EB-006,22612.0,648000.0,54.0,5797880.0,1302304.0,111991218.0
2015-02-05,EB-009,88221.0,224640.0,73.0,14003399.0,869563.0,317112093.0
2015-02-05,EB-010,8899.0,1339200.0,27.0,2022497.0,1577722.0,16522598.0
2015-02-06,EB-004,0.0,1667520.0,33.0,2641460.0,1426527.0,26620675.0
2015-02-06,EB-006,11632.0,622080.0,55.0,5816047.0,1150552.0,112508058.0
2015-02-06,EB-009,51858.0,216000.0,73.0,14015606.0,685383.0,317529618.0
2015-02-06,EB-010,5939.0,1397088.0,27.0,2048094.0,1674398.0,16793969.0
2015-02-07,EB-004,3951.0,1665792.0,33.0,2633963.0,1482304.0,26433236.0
2015-02-07,EB-006,8157.0,613440.0,55.0,5826139.0,908730.0,112795191.0
2015-02-07,EB-009,21042.0,216000.0,73.0,14027813.0,654568.0,317947144.0
2015-02-07,EB-010,3315.0,1416960.0,27.0,2071722.0,1670772.0,17044466.0
2015-02-08,EB-004,9189.0,1650240.0,33.0,2625396.0,1445214.0,26219021.0
2015-02-08,EB-006,20981.0,648000.0,55.0,5828158.0,726407.0,112852617.0
2015-02-08,EB-009,26684.0,172800.0,73.0,14044089.0,756185.0,318503845.0
2015-02-08,EB-010,3559.0,1421280.0,28.0,2093380.0,1654461.0,17274088.0
2015-02-09,EB-004,0.0,1650240.0,33.0,2615095.0,1391904.0,25960685.0
2015-02-09,EB-006,5830.0,648000.0,55.0,5830176.0,706010.0,112910044.0
2015-02-09,EB-009,0.0,172800.0,73.0,14060365.0,729502.0,319060547.0
2015-02-09,EB-010,5499.0,1421280.0,28.0,2115039.0,1656401.0,17503710.0
2015-02-10,EB-004,5210.0,1666656.0,33.0,2603815.0,1384160.0,25677668.0
2015-02-10,EB-006,2334.0,648000.0,55.0,5834213.0,765187.0,113024897.0
2015-02-10,EB-009,2815.0,172800.0,73.0,14076641.0,732316.0,319617248.0
2015-02-10,EB-010,0.0,1416960.0,28.0,2138667.0,1667457.0,17754207.0
2015-02-11,EB-004,2592.0,1555200.0,33.0,2591508.0,1249047.0,25368923.0
2015-02-11,EB-006,3493.0,685066.0,55.0,5822102.0,344000.0,112680338.0
2015-02-11,EB-009,21139.0,181440.0,73.0,14092917.0,759280.0,320173949.0
2015-02-11,EB-010,2374.0,1347840.0,28.0,2158357.0,1558962.0,17962955.0
2015-02-12,EB-004,0.0,1680480.0,33.0,2580228.0,1397463.0,25085906.0
2015-02-12,EB-006,5820.0,587520.0,55.0,5824121.0,645528.0,112737764.0
2015-02-12,EB-009,0.0,164160.0,73.0,14106955.0,644315.0,320654104.0
2015-02-12,EB-010,2180.0,1451520.0,28.0,2180016.0,1681360.0,18192577.0
2015-02-13,EB-004,0.0,1633824.0,32.0,2567921.0,1325079.0,24777161.0
2015-02-13,EB-006,13983.0,596160.0,55.0,5826139.0,667570.0,112795191.0
2015-02-13,EB-009,50837.0,138240.0,73.0,14121400.0,683149.0,321148176.0
2015-02-13,EB-010,3947.0,1460160.0,28.0,2192671.0,1639401.0,18367871.0
2015-02-14,EB-004,0.0,1661472.0,32.0,2555615.0,1352727.0,24468416.0
2015-02-14,EB-006,16313.0,648000.0,55.0,5826139.0,664313.0,112795191.0
2015-02-14,EB-009,76347.0,129600.0,73.0,14138352.0,779260.0,321721489.0
2015-02-14,EB-010,6394.0,1460160.0,28.0,2204816.0,1669360.0,18570677.0
2015-02-15,EB-004,0.0,1639008.0,33.0,2583304.0,2333685.0,25163093.0
2015-02-15,EB-006,12479.0,648000.0,55.0,5942266.0,3855675.0,115990387.0
2015-02-15,EB-009,76439.0,129600.0,73.0,14155304.0,779352.0,322294802.0
2015-02-15,EB-010,7533.0,1460160.0,28.0,2215612.0,1647965.0,18750949.0
2015-02-16,EB-004,0.0,1583712.0,33.0,2602789.0,2072559.0,25651940.0
2015-02-16,EB-006,14481.0,648000.0,56.0,6033695.0,3162281.0,118490187.0
2015-02-16,EB-009,65212.0,138240.0,73.0,14176494.0,920094.0,323011444.0
2015-02-16,EB-010,5792.0,1382400.0,28.0,2227758.0,1590998.0,18953755.0
2015-02-17,EB-004,0.0,1583712.0,33.0,2613044.0,1840999.0,25909227.0
2015-02-17,EB-006,122.0,648000.0,56.0,6097876.0,2471847.0,120312814.0
2015-02-17,EB-009,21297.0,129600.0,73.0,14197684.0,867538.0,323728085.0
