"Fec. medida","Código","Evapor. diaria (m³)","Desagüe diario (m³)","Altura diaria (m)","Superf. diaria (m2)","Aport. diaria (m³)","Volumen diario (m³)"
"03/02/2015","EB-004","0","1.663.200","33","2.659.666","1.743.531","27.075.883"
"03/02/2015","EB-006","12.631","639.360","54","5.741.362","1.800.523","110.383.274"
"03/02/2015","EB-009","57.297","172.800","73","13.974.916","786.799","316.137.866"
"03/02/2015","EB-010","6.334","1.416.960","27","1.979.492","1.671.541","16.053.151"
"04/02/2015","EB-004","0","1.655.424","33","2.659.666","1.655.424","27.075.883"
"04/02/2015","EB-006","9.241","596.160","54","5.775.677","1.581.653","111.359.526"
"04/02/2015","EB-009","74.132","216.000","73","13.987.123","707.657","316.555.391"
"04/02/2015","EB-010","7.403","1.416.960","27","2.000.838","1.664.187","16.292.975"
"05/02/2015","EB-004","14.581","1.563.840","33","2.651.099","1.364.206","26.861.668"
"05/02/2015","EB-006","22.612","648.000","54","5.797.880","1.302.304","111.991.218"
"05/02/2015","EB-009","88.221","224.640","73","14.003.399","869.563","317.112.093"
"05/02/2015","EB-010","8.899","1.339.200","27","2.022.497","1.577.722","16.522.598"
"06/02/2015","EB-004","0","1.667.520","33","2.641.460","1.426.527","26.620.675"
"06/02/2015","EB-006","11.632","622.080","55","5.816.047","1.150.552","112.508.058"
"06/02/2015","EB-009","51.858","216.000","73","14.015.606","685.383","317.529.618"
"06/02/2015","EB-010","5.939","1.397.088","27","2.048.094","1.674.398","16.793.969"
"07/02/2015","EB-004","3.951","1.665.792","33","2.633.963","1.482.304","26.433.236"
"07/02/2015","EB-006","8.157","613.440","55","5.826.139","908.730","112.795.191"
"07/02/2015","EB-009","21.042","216.000","73","14.027.813","654.568","317.947.144"
"07/02/2015","EB-010","3.315","1.416.960","27","2.071.722","1.670.772","17.044.466"
"08/02/2015","EB-004","9.189","1.650.240","33","2.625.396","1.445.214","26.219.021"
"08/02/2015","EB-006","20.981","648.000","55","5.828.158","726.407","112.852.617"
"08/02/2015","EB-009","26.684","172.800","73","14.044.089","756.185","318.503.845"
"08/02/2015","EB-010","3.559","1.421.280","28","2.093.380","1.654.461","17.274.088"
"09/02/2015","EB-004","0","1.650.240","33","2.615.095","1.391.904","25.960.685"
"09/02/2015","EB-006","583","648.000","55","5.830.176","706.010","112.910.044"
"09/02/2015","EB-009","0","172.800","73","14.060.365","729.502","319.060.547"
"09/02/2015","EB-010","5.499","1.421.280","28","2.115.039","1.656.401","17.503.710"
"10/02/2015","EB-004","521","1.666.656","33","2.603.815","1.384.160","25.677.668"
"10/02/2015","EB-006","2.334","648.000","55","5.834.213","765.187","113.024.897"
"10/02/2015","EB-009","2.815","172.800","73","14.076.641","732.316","319.617.248"
"10/02/2015","EB-010","0","1.416.960","28","2.138.667","1.667.457","17.754.207"
"11/02/2015","EB-004","2.592","1.555.200","33","2.591.508","1.249.047","25.368.923"
"11/02/2015","EB-006","3.493","685.066","55","5.822.102","344.000","112.680.338"
"11/02/2015","EB-009","21.139","181.440","73","14.092.917","759.280","320.173.949"
"11/02/2015","EB-010","2.374","1.347.840","28","2.158.357","1.558.962","17.962.955"
"12/02/2015","EB-004","0","1.680.480","33","2.580.228","1.397.463","25.085.906"
"12/02/2015","EB-006","582","587.520","55","5.824.121","645.528","112.737.764"
"12/02/2015","EB-009","0","164.160","73","14.106.955","644.315","320.654.104"
"12/02/2015","EB-010","218","1.451.520","28","2.180.016","1.681.360","18.192.577"
"13/02/2015","EB-004","0","1.633.824","32","2.567.921","1.325.079","24.777.161"
"13/02/2015","EB-006","13.983","596.160","55","5.826.139","667.570","112.795.191"
"13/02/2015","EB-009","50.837","138.240","73","14.121.400","683.149","321.148.176"
"13/02/2015","EB-010","3.947","1.460.160","28","2.192.671","1.639.401","18.367.871"
"14/02/2015","EB-004","0","1.661.472","32","2.555.615","1.352.727","24.468.416"
"14/02/2015","EB-006","16.313","648.000","55","5.826.139","664.313","112.795.191"
"14/02/2015","EB-009","76.347","129.600","73","14.138.352","779.260","321.721.489"
"14/02/2015","EB-010","6.394","1.460.160","28","2.204.816","1.669.360","18.570.677"
"15/02/2015","EB-004","0","1.639.008","33","2.583.304","2.333.685","25.163.093"
"15/02/2015","EB-006","12.479","648.000","55","5.942.266","3.855.675","115.990.387"
"15/02/2015","EB-009","76.439","129.600","73","14.155.304","779.352","322.294.802"
"15/02/2015","EB-010","7.533","1.460.160","28","2.215.612","1.647.965","18.750.949"
"16/02/2015","EB-004","0","1.583.712","33","2.602.789","2.072.559","25.651.940"
"16/02/2015","EB-006","14.481","648.000","56","6.033.695","3.162.281","118.490.187"
"16/02/2015","EB-009","65.212","138.240","73","14.176.494","920.094","323.011.444"
"16/02/2015","EB-010","5.792","1.382.400","28","2.227.758","1.590.998","18.953.755"
"17/02/2015","EB-004","0","1.583.712","33","2.613.044","1.840.999","25.909.227"
"17/02/2015","EB-006","1.220","648.000","56","6.097.876","2.471.847","120.312.814"
"17/02/2015","EB-009","21.297","129.600","73","14.197.684","867.538","323.728.085"
"17/02/2015","EB-010","3.808","1.382.400","28","2.239.904","1.589.014","19.156.561"
"18/02/2015","EB-004","0","1.562.112","33","2.619.197","1.716.485","26.063.600"
"18/02/2015","EB-006","6.161","648.000","56","6.161.198","2.505.125","122.163.778"
"18/02/2015","EB-009","22.750","129.600","73","14.218.874","868.991","324.444.726"
"18/02/2015","EB-010","4.051","1.382.400","28","2.250.700","1.566.723","19.336.833"
"19/02/2015","EB-004","0","1.682.208","33","2.620.223","1.707.937","26.089.329"
"19/02/2015","EB-006","7.452","648.000","56","6.209.744","2.074.524","123.582.850"
"19/02/2015","EB-009","31.319","129.600","73","14.235.826","734.233","325.018.040"
"19/02/2015","EB-010","4.071","1.503.360","29","2.261.496","1.687.703","19.517.105"
"20/02/2015","EB-004","0","1.635.552","33","2.617.146","1.558.366","26.012.143"
"20/02/2015","EB-006","9.375","561.600","57","6.249.848","1.743.251","124.755.126"
"20/02/2015","EB-009","18.523","172.800","73","14.248.540","621.307","325.448.024"
"20/02/2015","EB-010","3.638","1.434.240","29","2.273.642","1.640.684","19.719.911"
"21/02/2015","EB-004","0","1.598.400","33","2.613.044","1.495.484","25.909.227"
"21/02/2015","EB-006","18.180","639.360","57","6.268.845","1.212.829","125.310.415"
"21/02/2015","EB-009","81.313","129.600","73","14.265.492","784.227","326.021.338"
"21/02/2015","EB-010","7.078","1.442.016","29","2.283.088","1.606.832","19.877.649"
