"Fecha medida","Código","Nivel medio diario (m)"
"15/02/2015","EA-021-PR","0,06"
"15/02/2015","EA-062-TOT",""
"15/02/2015","EA-063-PR","0,00"
"15/02/2015","EA-112-TOT",""
"15/02/2015","EA-117-TOT",""
"15/02/2015","EA-430B",""
"16/02/2015","EA-001","0,48"
"16/02/2015","EA-007",""
"16/02/2015","EA-013-TOT",""
"16/02/2015","EA-021-PR","0,08"
"16/02/2015","EA-062-TOT",""
"16/02/2015","EA-063-PR","0,00"
"16/02/2015","EA-112-TOT",""
"16/02/2015","EA-117-TOT",""
"16/02/2015","EA-430B",""
"17/02/2015","EA-001","0,48"
"17/02/2015","EA-007",""
"17/02/2015","EA-013-TOT",""
"17/02/2015","EA-021-PR","0,15"
"17/02/2015","EA-062-TOT",""
"17/02/2015","EA-063-PR","0,00"
"17/02/2015","EA-112-TOT",""
"17/02/2015","EA-117-TOT",""
"17/02/2015","EA-430B",""
"18/02/2015","EA-001","0,48"
"18/02/2015","EA-007",""
"18/02/2015","EA-013-TOT",""
"18/02/2015","EA-021-PR","0,15"
"18/02/2015","EA-062-TOT",""
"18/02/2015","EA-063-PR","0,00"
"18/02/2015","EA-112-TOT",""
"18/02/2015","EA-117-TOT",""
"18/02/2015","EA-430B",""
"19/02/2015","EA-001","0,48"
"19/02/2015","EA-007",""
"19/02/2015","EA-013-TOT",""
"19/02/2015","EA-021-PR","0,11"
"19/02/2015","EA-062-TOT",""
"19/02/2015","EA-063-PR","0,00"
"19/02/2015","EA-112-TOT",""
"19/02/2015","EA-117-TOT",""
"19/02/2015","EA-430B",""
"20/02/2015","EA-001","0,48"
"20/02/2015","EA-007",""
"20/02/2015","EA-013-TOT",""
"20/02/2015","EA-021-PR","0,08"
"20/02/2015","EA-062-TOT",""
"20/02/2015","EA-063-PR","0,00"
"20/02/2015","EA-112-TOT",""
"20/02/2015","EA-117-TOT",""
"20/02/2015","EA-430B",""
"21/02/2015","EA-001","0,48"
"21/02/2015","EA-007",""
"21/02/2015","EA-013-TOT",""
