indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,fecha,anio,mes,w_med,w_rec
7228,5.6,3.0,47.0,0.0,0.0,10.8,1011.7,2.0,1014.2,1005.5,13.3,31.5,18.8,6.0,0.0,4.0,14/16.1(16),0.0,24.0,76.0,0.0,4.0,5.8,121.0,0.0,0.0,2117.0,10.0,4.0,3.0,0.0,21.3,0.0,20.3,27.2,0.0,999.1,3.0,2018-05-01,2018,5,,235
7228,40.0,4.0,47.0,0.0,0.0,11.1,1013.6,0.0,1014.5,1005.9,17.6,34.6,22.5,25.0,0.0,14.0,16/14.4(21),1.0,12.0,75.0,0.0,3.0,12.8,154.0,1.0,0.0,2444.0,49.0,3.0,2.0,0.0,24.2,0.0,24.5,31.5,0.0,998.4,3.0,2018-06-01,2018,6,,231
7228,0.0,0.0,43.0,0.0,0.0,12.1,1011.5,0.0,1013.8,1005.4,21.3,41.0,24.6,31.0,0.0,25.0,16/14.4(11),0.0,6.0,84.0,0.0,0.0,19.0,179.0,0.0,0.0,3075.0,0.0,0.0,0.0,0.0,31.5,0.0,28.6,35.8,0.0,999.3,0.0,2018-07-01,2018,7,,240
7228,8.5,1.0,55.0,0.0,0.0,10.0,1013.1,0.0,1015.6,1007.1,22.1,40.0,25.4,31.0,0.0,12.0,11/15.0(16),0.0,18.0,73.0,0.0,2.0,18.6,215.0,0.0,0.0,2390.0,13.0,5.0,1.0,0.0,30.8,0.0,28.7,35.2,0.0,1001.2,2.0,2018-08-01,2018,8,,224
7228,19.9,2.0,65.0,0.0,0.0,7.5,1020.3,0.0,1018.1,1009.5,20.0,35.9,23.0,23.0,0.0,6.0,04/12.8(18),2.0,22.0,60.0,0.0,5.0,14.5,215.0,0.0,0.0,1437.0,39.1,6.0,3.0,0.0,25.0,0.0,25.8,31.5,0.0,1001.4,4.0,2018-09-01,2018,9,,186
7228,18.9,5.0,67.0,0.0,0.0,6.6,1017.7,1.0,1014.3,1005.5,13.5,30.5,18.0,2.0,0.0,8.0,34/16.1(29),1.0,18.0,59.0,0.0,13.0,6.5,154.0,0.0,0.0,1106.0,46.5,12.0,1.0,0.0,14.5,0.0,19.4,25.2,0.0,990.6,11.0,2018-10-01,2018,10,,184
7228,45.8,6.0,71.0,0.0,0.0,5.8,1015.5,2.0,1015.7,1006.8,8.7,23.8,14.7,0.0,0.0,6.0,34/17.5(09),2.0,18.0,57.0,0.0,9.0,2.9,118.0,2.0,0.0,881.0,103.6,10.0,1.0,0.0,14.8,0.0,14.3,19.8,0.0,991.3,5.0,2018-11-01,2018,11,,185
7228,5.7,3.0,72.0,0.0,2.0,7.4,1025.2,2.0,1025.9,1016.8,5.1,24.4,9.5,0.0,0.0,9.0,34/21.1(14),0.0,19.0,77.0,0.0,3.0,-0.4,102.0,0.0,2.0,721.0,6.9,3.0,0.0,1.0,14.8,0.0,12.0,18.8,0.0,997.8,2.0,2018-12-01,2018,12,,146
7228,0.8,1.0,59.0,0.0,0.0,7.5,1025.2,4.0,1020.0,1010.8,2.9,23.0,13.3,0.0,0.0,16.0,10/21.1(23),0.0,14.0,76.0,0.0,2.0,-3.5,75.0,0.0,0.0,1221.0,1.3,2.0,0.0,9.0,12.0,0.0,10.2,17.5,0.0,993.4,0.0,2019-01-01,2019,1,,201
7228,0.0,0.0,57.0,0.0,0.0,8.4,1025.5,3.0,1025.2,1016.1,4.5,27.7,10.6,0.0,0.0,9.0,35/19.7(03),0.0,19.0,78.0,0.0,0.0,0.9,80.0,0.0,0.0,1183.0,0.0,0.0,0.0,0.0,14.1,0.0,12.1,19.7,0.0,987.6,0.0,2019-02-01,2019,2,,194
7228,11.4,4.0,54.0,0.0,0.0,7.6,1023.3,1.0,1022.7,1013.7,6.1,28.9,12.0,0.0,0.0,10.0,30/16.4(06),1.0,17.0,64.0,0.0,3.0,1.3,88.0,0.0,0.0,1455.0,14.7,4.0,0.0,0.0,13.6,0.0,14.1,22.1,0.0,998.0,2.0,2019-03-01,2019,3,,188
7228,77.6,7.0,64.0,0.0,0.0,7.8,1018.1,7.0,1013.1,1004.2,9.9,29.2,14.5,0.0,0.0,9.0,08/20.0(20),2.0,14.0,59.0,0.0,7.0,5.2,123.0,1.0,0.0,1476.0,121.2,9.0,1.0,0.0,14.3,0.0,16.2,22.5,0.0,990.8,6.0,2019-04-01,2019,4,,233
7228,2.3,0.0,53.0,0.0,1.0,10.5,1017.2,1.0,1014.8,1006.1,13.4,34.5,19.0,7.0,0.0,9.0,34/15.6(17),0.0,22.0,74.0,0.0,3.0,10.5,139.0,0.0,0.0,1879.0,4.2,3.0,1.0,0.0,24.0,0.0,20.8,28.1,0.0,994.9,2.0,2019-05-01,2019,5,,224
7228,1.3,0.0,42.0,0.0,0.0,12.1,1014.5,0.0,1014.4,1005.8,16.5,38.0,21.2,24.0,0.0,14.0,16/14.4(20),0.0,16.0,82.0,0.0,2.0,11.2,140.0,0.0,0.0,2510.0,1.4,2.0,0.0,0.0,26.2,0.0,24.4,32.2,0.0,998.8,1.0,2019-06-01,2019,6,,250
7228,0.0,1.0,43.0,0.0,0.0,11.2,1012.5,0.0,1013.0,1004.5,21.4,41.2,26.9,31.0,0.0,17.0,29/15.0(06),0.0,13.0,77.0,0.0,0.0,18.3,177.0,0.0,0.0,2888.0,0.0,2.0,1.0,0.0,30.1,0.0,28.7,35.9,0.0,995.2,0.0,2019-07-01,2019,7,,258
7228,6.9,0.0,52.0,0.0,0.0,10.7,1012.0,0.0,1014.9,1006.4,21.2,42.8,24.5,30.0,0.0,17.0,21/14.4(27),0.0,14.0,79.0,0.0,4.0,18.0,202.0,0.0,0.0,2361.0,11.9,4.0,2.0,0.0,29.6,0.0,28.4,35.6,0.0,999.3,3.0,2019-08-01,2019,8,,224
7228,179.7,2.0,66.0,0.0,0.0,7.2,1016.2,2.0,1016.9,1008.3,18.8,36.5,21.6,19.0,0.0,5.0,35/16.9(10),3.0,23.0,58.0,0.0,6.0,15.0,203.0,2.0,0.0,1352.0,240.4,6.0,2.0,0.0,21.0,0.0,24.7,30.5,0.0,1000.3,3.0,2019-09-01,2019,9,,194
7228,12.8,2.0,64.0,0.0,0.0,7.6,1014.4,0.0,1016.8,1008.1,13.7,34.8,19.6,8.0,0.0,8.0,34/12.8(24),2.0,21.0,68.0,0.0,4.0,8.2,153.0,0.0,0.0,1226.0,25.1,4.0,0.0,0.0,14.2,0.0,20.4,27.0,0.0,998.2,3.0,2019-10-01,2019,10,,153
7228,5.1,2.0,59.0,0.0,0.0,7.3,1013.5,6.0,1012.5,1003.6,8.2,28.7,17.0,0.0,0.0,3.0,35/18.6(10),0.0,25.0,72.0,0.0,7.0,1.3,100.0,0.0,0.0,1454.0,10.2,7.0,0.0,0.0,15.1,0.0,14.4,20.6,0.0,987.6,3.0,2019-11-01,2019,11,,255
